"AudioEventId","Domain","RuntimeProducer","WwiseEventName","Bank","Spatialization","Lifecycle","HookStatus","AuthoringStatus","ContentStatus","Notes"
"audio.event.vehicle.starter.engaged","Vehicle","VehicleAudioPresenter -> VehicleAudioEmitterBackend","Play_MSC_Vehicle_Starter_Engage","MSC_Vehicle","3D emitter","OneShot","RuntimeMapped","WwiseAuthoringVerified","TemporaryPrototypeOnly","Typed cranking transition."
"audio.event.vehicle.starter.disengaged","Vehicle","VehicleAudioPresenter -> VehicleAudioEmitterBackend","Stop_MSC_Vehicle_Starter","MSC_Vehicle","3D emitter","Stop","RuntimeMapped","WwiseAuthoringVerified","NoFinalContent","Stops starter presentation; simulation remains authoritative."
"audio.event.vehicle.engine.started","Vehicle","VehicleAudioPresenter -> VehicleAudioEmitterBackend","Play_MSC_Vehicle_Engine_Start","MSC_Vehicle","3D emitter","OneShot","RuntimeMapped","WwiseAuthoringVerified","TemporaryPrototypeOnly","Typed Running transition."
"audio.event.vehicle.engine.stopped","Vehicle","VehicleAudioPresenter -> VehicleAudioEmitterBackend","Stop_MSC_Vehicle_Engine","MSC_Vehicle","3D emitter","Stop","RuntimeMapped","WwiseAuthoringVerified","NoFinalContent","Continuous handles also stop explicitly."
"audio.event.vehicle.engine.stalled","Vehicle","VehicleAudioPresenter -> VehicleAudioEmitterBackend","Play_MSC_Vehicle_Engine_Stall","MSC_Vehicle","3D emitter","OneShot","RuntimeMapped","WwiseAuthoringVerified","NoFinalContent","No donor stall parity is claimed."
"audio.event.vehicle.reset","Vehicle","VehicleAudioPresenter -> VehicleAudioEmitterBackend","Stop_MSC_Vehicle_All","MSC_Vehicle","3D emitter","StopAllForEmitter","RuntimeMapped","WwiseAuthoringVerified","NotApplicable","Cleanup/reset presentation only."
"audio.event.vehicle.engine.intake","Vehicle","VehicleAudioEmitterBackend","Play_MSC_Vehicle_Engine_Intake","MSC_Vehicle","3D emitter","LoopHandle","RuntimeMapped","WwiseAuthoringVerified","TemporaryPrototypeOnly","Layer runs while Cranking or Running."
"audio.event.vehicle.engine.exhaust","Vehicle","VehicleAudioEmitterBackend","Play_MSC_Vehicle_Engine_Exhaust","MSC_Vehicle","3D emitter","LoopHandle","RuntimeMapped","WwiseAuthoringVerified","TemporaryPrototypeOnly","Independent layered handle."
"audio.event.vehicle.engine.mechanical","Vehicle","VehicleAudioEmitterBackend","Play_MSC_Vehicle_Engine_Mechanical","MSC_Vehicle","3D emitter","LoopHandle","RuntimeMapped","WwiseAuthoringVerified","TemporaryPrototypeOnly","Independent layered handle."
"audio.event.vehicle.tire.roll","Vehicle","VehicleAudioEmitterBackend","Play_MSC_Vehicle_Tire_Roll","MSC_Vehicle","3D emitter","LoopHandle","RuntimeMapped","WwiseAuthoringVerified","TemporaryPrototypeOnly","Starts from signed speed or aggregate wheel speed."
"audio.event.weather.rain.exterior","Weather","WeatherAudioPresenter","Play_MSC_Weather_Rain_Exterior","MSC_Weather","Listener-relative","LoopHandle","RuntimeMapped","WwiseAuthoringVerified","TemporaryPrototypeOnly","WeatherRainLoop is an alias of this same stable ID."
"audio.event.weather.rain.sheltered","Weather","WeatherAudioPresenter","Play_MSC_Weather_Rain_Sheltered","MSC_Weather","Listener-relative/zone","LoopHandle","RuntimeMapped","WwiseAuthoringVerified","TemporaryPrototypeOnly","Mutually exclusive with other rain-space loops."
"audio.event.weather.rain.interior","Weather","WeatherAudioPresenter","Play_MSC_Weather_Rain_Interior","MSC_Weather","Listener-relative/zone","LoopHandle","RuntimeMapped","WwiseAuthoringVerified","TemporaryPrototypeOnly","Also selected for vehicle interior."
"audio.event.weather.wind","Weather","WeatherAudioPresenter","Play_MSC_Weather_Wind","MSC_Weather","Listener-relative","LoopHandle","RuntimeMapped","WwiseAuthoringVerified","TemporaryPrototypeOnly","WeatherWindLoop is an alias of this same stable ID."
"audio.event.weather.thunder","Weather","WeatherAudioPresenter","Play_MSC_Weather_Thunder","MSC_Weather","3D world position","DelayedOneShot","RuntimeMapped","WwiseAuthoringVerified","TemporaryPrototypeOnly","Delay comes from project ThunderAudioRequest."
